Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Hospital,Customer Service,107,14,1,39,Thursday,10,33
Government Office,Emergency,84,8,17,51,Friday,8,76
Government Office,General,54,9,23,18,Tuesday,9,50
Government Office,Cardiology,104,4,14,19,Saturday,16,90
Bank,Customer Service,110,13,19,14,Thursday,8,57
Bank,Emergency,92,2,7,5,Monday,17,54
Hospital,Cardiology,20,5,1,27,Monday,16,20
Government Office,General,118,9,24,55,Friday,18,105
Government Office,Cardiology,119,1,4,17,Tuesday,11,64
Government Office,Customer Service,88,1,9,36,Thursday,18,53
Hospital,Emergency,74,12,6,52,Saturday,10,45
Hospital,Emergency,25,9,21,46,Saturday,16,68
Government Office,General,84,1,16,34,Saturday,20,87
Government Office,Loan Department,57,13,13,23,Monday,17,37
Government Office,Loan Department,89,5,8,44,Wednesday,15,70
Bank,Cardiology,53,3,6,21,Monday,20,27
Bank,Emergency,6,11,24,52,Friday,17,47
Hospital,General,9,5,11,39,Saturday,13,48
Government Office,General,48,10,13,35,Saturday,20,33
Government Office,Customer Service,68,13,2,13,Monday,9,18
Hospital,Loan Department,50,9,19,25,Thursday,17,52
Hospital,Emergency,26,13,8,9,Wednesday,17,8
Hospital,Emergency,69,10,21,43,Wednesday,17,70
Bank,General,50,5,16,26,Wednesday,19,55
Government Office,Loan Department,14,7,22,38,Friday,18,43
Bank,Emergency,119,12,15,42,Tuesday,19,79
Bank,Loan Department,29,3,2,26,Thursday,18,21
Hospital,General,90,7,10,36,Tuesday,12,74
Hospital,Loan Department,68,4,9,38,Tuesday,15,70
Bank,Customer Service,22,3,3,24,Monday,11,20
Bank,Customer Service,29,4,8,49,Friday,13,48
Bank,Emergency,42,5,18,18,Friday,16,63
Bank,Customer Service,115,7,13,10,Monday,16,82
Government Office,Loan Department,19,4,7,38,Friday,12,48
Hospital,Cardiology,119,5,21,24,Friday,8,88
Bank,General,11,2,17,6,Thursday,14,54
Hospital,General,108,5,10,9,Monday,18,60
Bank,Loan Department,100,4,14,23,Tuesday,8,73
Government Office,Loan Department,80,9,23,21,Saturday,8,67
Bank,Emergency,96,9,17,55,Tuesday,17,78
Hospital,Cardiology,84,2,17,20,Monday,15,81
Bank,Loan Department,11,12,1,14,Wednesday,8,5
Government Office,Emergency,48,3,5,18,Friday,20,35
Hospital,Cardiology,113,3,17,33,Monday,11,76
Hospital,Loan Department,92,3,11,55,Saturday,11,81
Hospital,Loan Department,72,1,1,17,Friday,10,45
Hospital,General,109,1,9,22,Tuesday,8,63
Bank,Emergency,75,9,18,28,Thursday,10,60
Hospital,Customer Service,8,6,3,9,Friday,11,10
Hospital,Cardiology,112,7,7,57,Saturday,16,82
Hospital,Loan Department,17,14,7,29,Tuesday,18,5
Government Office,Customer Service,119,12,11,22,Tuesday,9,54
Bank,General,34,14,17,35,Thursday,9,41
Bank,General,116,13,19,53,Monday,19,76
Bank,General,65,4,22,7,Monday,11,67
Bank,General,44,11,6,6,Wednesday,15,33
Hospital,Emergency,91,2,10,53,Monday,18,79
Government Office,Loan Department,71,11,17,39,Tuesday,9,48
Hospital,Loan Department,88,12,24,15,Friday,16,75
Hospital,Loan Department,96,1,4,14,Monday,10,59
Government Office,Emergency,22,13,18,9,Tuesday,9,18
Hospital,Loan Department,70,11,17,42,Monday,11,49
Bank,Loan Department,85,6,10,23,Friday,14,70
Government Office,Emergency,92,4,23,50,Friday,8,91
Bank,Cardiology,40,6,8,25,Tuesday,17,33
Hospital,Cardiology,65,10,7,8,Tuesday,19,26
Hospital,Cardiology,73,6,4,55,Tuesday,16,57
Bank,Cardiology,12,9,14,40,Wednesday,18,32
Hospital,Loan Department,115,3,14,41,Friday,15,102
Hospital,Cardiology,43,6,18,32,Thursday,10,53
Bank,Loan Department,83,10,10,27,Thursday,18,60
Government Office,Loan Department,66,3,17,29,Friday,10,63
Government Office,Cardiology,54,9,14,43,Saturday,13,60
Bank,Loan Department,25,7,19,33,Friday,17,42
Government Office,Cardiology,54,7,3,56,Saturday,14,54
Bank,Loan Department,71,5,20,6,Monday,8,59
Hospital,General,74,7,18,48,Friday,8,75
Government Office,Customer Service,43,3,12,30,Saturday,8,50
Hospital,General,18,6,11,24,Monday,19,28
Government Office,Customer Service,95,6,9,56,Tuesday,19,64
Hospital,General,38,7,8,48,Tuesday,16,48
Hospital,Customer Service,69,6,14,36,Wednesday,12,74
Hospital,Customer Service,116,10,9,40,Saturday,9,58
Government Office,Loan Department,27,8,4,38,Thursday,8,21
Government Office,General,96,6,21,19,Tuesday,8,80
Government Office,Emergency,19,2,17,29,Monday,12,59
Bank,Customer Service,95,1,20,8,Thursday,9,77
Government Office,Cardiology,87,2,1,18,Saturday,19,51
Bank,General,95,12,2,17,Tuesday,20,30
Hospital,Customer Service,13,13,22,58,Tuesday,15,59
Hospital,Loan Department,23,12,22,44,Tuesday,9,40
Government Office,Loan Department,113,7,8,16,Friday,8,56
Hospital,Customer Service,19,3,23,56,Thursday,10,62
Government Office,Loan Department,73,14,18,8,Saturday,15,58
Government Office,Cardiology,61,6,2,19,Saturday,13,39
Government Office,Cardiology,71,11,2,32,Monday,20,30
Bank,Customer Service,14,1,3,7,Saturday,18,6
Hospital,Loan Department,16,9,11,17,Thursday,12,28
Bank,Customer Service,105,8,3,25,Friday,20,52
Government Office,Cardiology,55,5,18,25,Monday,19,57
Bank,Customer Service,69,12,13,10,Monday,16,53
Government Office,Cardiology,90,2,23,15,Monday,8,89
Government Office,Customer Service,67,4,20,6,Wednesday,13,69
Hospital,Emergency,99,10,23,36,Tuesday,17,77
Bank,General,119,6,6,45,Wednesday,19,78
Government Office,Customer Service,20,4,10,48,Friday,12,43
Government Office,Cardiology,15,13,17,49,Saturday,12,42
Hospital,General,117,4,15,27,Thursday,11,86
Bank,Emergency,44,6,21,18,Thursday,17,49
Government Office,Emergency,89,3,15,19,Wednesday,8,69
Government Office,Emergency,114,10,9,56,Tuesday,17,68
Bank,Customer Service,99,11,21,20,Saturday,20,66
Bank,Emergency,35,9,3,57,Monday,10,24
Hospital,Loan Department,94,8,23,12,Wednesday,14,88
Hospital,Cardiology,90,7,8,48,Saturday,17,50
Government Office,Cardiology,41,8,0,32,Thursday,11,17
Hospital,Loan Department,9,2,23,51,Monday,18,57
Hospital,Loan Department,88,12,12,9,Wednesday,9,47
Hospital,Cardiology,35,6,23,29,Wednesday,12,73
Bank,Emergency,32,6,20,16,Monday,20,49
Hospital,Emergency,68,7,12,31,Friday,12,70
Government Office,Cardiology,21,5,17,44,Tuesday,8,45
Government Office,Customer Service,54,10,22,10,Friday,20,49
Hospital,Customer Service,76,7,12,12,Thursday,19,53
Government Office,Cardiology,69,7,12,7,Monday,8,40
Bank,Emergency,115,5,10,26,Tuesday,10,60
Government Office,Cardiology,66,5,8,32,Thursday,10,44
Government Office,Cardiology,96,11,12,42,Friday,10,47
Bank,Loan Department,42,1,10,51,Saturday,13,66
Bank,Loan Department,85,8,6,11,Saturday,16,53
Bank,Cardiology,36,11,24,12,Thursday,16,61
Hospital,Customer Service,34,3,7,53,Monday,12,45
Hospital,Emergency,59,12,12,18,Friday,11,33
Government Office,Emergency,58,14,6,51,Friday,12,46
Government Office,General,116,7,22,31,Tuesday,14,108
Hospital,General,39,12,2,11,Wednesday,20,5
Hospital,Cardiology,50,4,5,44,Tuesday,10,43
Bank,General,62,7,19,22,Tuesday,17,56
Hospital,Cardiology,26,5,20,6,Wednesday,10,37
Bank,Customer Service,47,2,22,17,Monday,15,78
Government Office,Emergency,11,9,21,5,Saturday,8,25
Government Office,Cardiology,8,14,3,6,Monday,9,5
Hospital,Loan Department,93,10,16,12,Monday,11,61
Bank,Emergency,67,14,20,27,Wednesday,19,48
Hospital,General,110,11,7,45,Saturday,15,66
Government Office,Cardiology,39,1,19,19,Thursday,9,58
Hospital,General,70,1,17,35,Thursday,15,83
Bank,Cardiology,68,5,8,45,Wednesday,20,55
Hospital,Cardiology,7,1,13,18,Thursday,18,38
Bank,Emergency,39,1,15,33,Tuesday,13,68
Hospital,General,54,10,7,38,Wednesday,19,33
Hospital,Customer Service,22,11,15,14,Thursday,18,18
Hospital,Cardiology,79,4,18,5,Monday,19,56
Hospital,Customer Service,71,12,8,57,Monday,18,50
Government Office,Customer Service,53,4,14,55,Monday,17,64
Government Office,Loan Department,76,12,22,19,Wednesday,18,56
Hospital,Emergency,86,4,14,47,Monday,17,72
Hospital,General,7,3,14,42,Monday,13,54
Hospital,Cardiology,117,10,7,54,Tuesday,12,79
Hospital,Loan Department,14,10,4,30,Friday,13,17
Bank,Emergency,33,12,19,22,Friday,10,29
Government Office,Customer Service,70,2,16,14,Thursday,19,69
Bank,Cardiology,5,8,3,29,Saturday,12,21
Hospital,Cardiology,35,2,18,57,Friday,11,66
Government Office,Cardiology,26,7,19,27,Thursday,20,36
Bank,Cardiology,7,7,19,49,Wednesday,17,46
Bank,Cardiology,104,5,4,43,Friday,18,58
Bank,Customer Service,11,9,19,14,Wednesday,16,40
Government Office,Cardiology,82,9,0,21,Tuesday,15,36
Hospital,Emergency,28,11,6,13,Thursday,20,13
Government Office,Emergency,7,5,9,37,Tuesday,12,34
Bank,General,56,6,1,33,Saturday,18,23
Bank,Emergency,72,13,4,24,Friday,11,21
Government Office,Loan Department,91,13,17,53,Friday,16,79
Hospital,Customer Service,52,4,21,41,Tuesday,9,74
Government Office,Customer Service,90,3,4,38,Friday,18,56
Bank,Loan Department,28,3,12,11,Monday,15,49
Government Office,Emergency,71,13,17,33,Tuesday,16,59
Government Office,Emergency,105,4,7,18,Friday,16,68
Bank,General,68,4,13,48,Tuesday,11,62
Bank,Cardiology,36,9,16,57,Tuesday,16,61
Government Office,Emergency,81,7,9,20,Friday,14,59
Government Office,General,71,12,8,19,Friday,11,34
Hospital,Customer Service,81,10,19,49,Monday,19,63
Government Office,Customer Service,96,14,20,15,Wednesday,11,57
Government Office,Loan Department,99,4,2,38,Tuesday,15,63
Hospital,Emergency,88,13,20,33,Thursday,20,53
Bank,Loan Department,61,2,20,52,Thursday,14,91
Bank,Loan Department,55,1,17,18,Wednesday,20,55
Hospital,General,68,5,0,53,Saturday,13,56
Hospital,Cardiology,51,6,21,36,Wednesday,11,65
Government Office,General,50,6,0,45,Saturday,17,38
Government Office,Cardiology,6,2,5,59,Wednesday,14,44
Government Office,Loan Department,33,4,13,7,Saturday,10,28
Hospital,General,41,1,3,27,Tuesday,14,45
Government Office,Customer Service,20,2,17,5,Tuesday,20,30
Government Office,Customer Service,60,8,14,52,Tuesday,18,49
Hospital,Customer Service,85,12,9,24,Saturday,8,40
Hospital,Emergency,100,3,21,46,Thursday,20,91
Hospital,Emergency,112,2,6,24,Saturday,11,62
Government Office,Loan Department,40,7,9,51,Tuesday,16,59
Bank,Loan Department,5,4,17,29,Tuesday,19,38
Government Office,General,30,1,6,59,Monday,13,58
Hospital,General,13,13,19,18,Friday,14,36
Hospital,Emergency,54,5,19,12,Wednesday,12,76
Government Office,Loan Department,61,9,18,33,Saturday,12,67
Government Office,Loan Department,47,13,9,7,Saturday,11,19
Bank,Customer Service,112,7,14,51,Monday,8,75
Government Office,Loan Department,85,8,18,43,Friday,14,89
Hospital,Cardiology,7,14,2,33,Wednesday,19,5
Hospital,General,32,10,6,43,Friday,10,23
Bank,General,39,2,14,56,Friday,12,78
Government Office,Emergency,28,8,20,49,Wednesday,18,48
Hospital,Cardiology,76,1,4,56,Saturday,13,70
Hospital,Cardiology,117,14,14,10,Wednesday,17,58
Hospital,Customer Service,57,8,8,47,Thursday,14,56
Bank,Loan Department,31,9,4,55,Friday,11,21
Government Office,Cardiology,35,3,20,39,Tuesday,13,73
Hospital,Customer Service,66,9,2,26,Wednesday,12,41
Bank,General,43,6,17,36,Tuesday,15,66
Bank,Loan Department,40,8,6,50,Saturday,16,40
Bank,General,14,7,17,36,Monday,20,24
Hospital,Cardiology,12,10,15,59,Wednesday,9,25
Government Office,General,79,6,0,16,Thursday,15,49
Hospital,Customer Service,85,1,7,58,Thursday,17,73
Hospital,General,60,11,13,28,Wednesday,15,53
Hospital,Cardiology,40,9,17,14,Saturday,17,34
Government Office,Loan Department,114,13,14,20,Saturday,10,60
Bank,General,31,5,8,19,Tuesday,17,26
Bank,General,112,5,8,50,Thursday,19,69
Government Office,Customer Service,40,4,16,55,Tuesday,10,64
Government Office,Loan Department,18,1,12,45,Thursday,10,36
Government Office,General,63,1,2,38,Monday,13,49
Government Office,Emergency,93,13,1,38,Friday,15,46
Hospital,Loan Department,25,13,24,42,Tuesday,11,35
Bank,Customer Service,48,9,8,43,Thursday,17,41
Hospital,General,20,5,11,28,Thursday,12,42
Bank,Customer Service,24,9,22,43,Monday,17,40
Bank,Customer Service,26,10,22,19,Monday,14,65
Government Office,Customer Service,17,12,3,22,Saturday,9,5
Government Office,Customer Service,104,3,16,32,Friday,9,80
Bank,Cardiology,116,11,24,17,Monday,9,76
Hospital,Emergency,97,5,3,16,Friday,9,44
Government Office,Emergency,65,12,2,24,Saturday,17,26
Hospital,Loan Department,31,11,9,5,Thursday,12,34
Hospital,Loan Department,15,2,6,24,Thursday,13,45
Bank,Cardiology,25,3,3,17,Tuesday,9,13
Government Office,Emergency,33,9,23,17,Monday,9,39
Government Office,Cardiology,53,1,5,23,Friday,10,33
Hospital,Emergency,5,8,16,25,Wednesday,11,21
Bank,General,112,13,3,57,Friday,11,48
Government Office,Cardiology,101,7,8,5,Friday,8,46
Hospital,Cardiology,70,9,3,49,Thursday,13,55
Bank,Cardiology,111,13,10,55,Tuesday,14,72
Government Office,Customer Service,21,2,14,21,Tuesday,10,48
Bank,General,73,10,13,38,Wednesday,18,46
Bank,Cardiology,30,6,11,27,Tuesday,12,44
Government Office,Customer Service,13,1,19,32,Tuesday,20,47
Hospital,Emergency,37,4,15,34,Monday,19,49
Hospital,Emergency,77,13,16,21,Friday,19,51
Bank,Emergency,71,1,11,36,Thursday,18,67
Bank,General,110,2,3,21,Friday,18,56
Government Office,General,50,8,3,42,Tuesday,14,36
Bank,Loan Department,23,11,23,40,Tuesday,20,49
Bank,Cardiology,52,4,7,59,Thursday,19,45
Hospital,Loan Department,81,8,24,25,Wednesday,9,74
Government Office,Customer Service,116,4,5,31,Saturday,20,71
Government Office,Loan Department,116,7,22,25,Thursday,11,85
Hospital,General,75,14,6,26,Thursday,15,42
Hospital,Loan Department,91,10,17,46,Wednesday,14,86
Government Office,General,69,14,17,17,Thursday,12,57
Government Office,Cardiology,108,8,9,36,Friday,16,67
Government Office,Emergency,52,8,18,24,Monday,16,55
Hospital,Loan Department,10,14,24,12,Saturday,10,27
Government Office,General,56,2,12,28,Monday,20,51
Government Office,Customer Service,18,12,10,10,Tuesday,15,25
Government Office,Cardiology,93,2,12,37,Friday,8,65
Bank,Loan Department,28,11,3,28,Monday,15,21
Hospital,Emergency,24,3,16,41,Tuesday,17,47
Bank,Customer Service,108,12,24,27,Friday,17,87
Government Office,Loan Department,56,10,8,48,Tuesday,8,31
Hospital,General,81,4,6,50,Thursday,11,54
Government Office,Customer Service,88,4,0,58,Tuesday,8,54
Hospital,Loan Department,38,11,20,28,Friday,17,30
Hospital,Emergency,17,3,3,8,Tuesday,19,10
Hospital,Customer Service,96,7,10,28,Saturday,18,59
Bank,Loan Department,48,10,6,23,Friday,20,31
Government Office,General,23,12,19,26,Friday,10,28
Bank,General,97,5,10,41,Tuesday,19,65
Hospital,Loan Department,22,12,4,52,Friday,17,5
Bank,Emergency,106,7,20,29,Thursday,20,82
Bank,Loan Department,98,14,12,46,Saturday,11,44
Government Office,Customer Service,59,8,17,39,Tuesday,15,67
Hospital,Loan Department,85,8,23,11,Saturday,16,72
Government Office,Emergency,104,10,9,49,Thursday,12,70
Bank,General,114,10,21,16,Thursday,17,73
Bank,Loan Department,56,4,6,45,Monday,12,56
Government Office,Emergency,63,13,13,48,Tuesday,15,55
Hospital,Loan Department,56,13,1,16,Monday,17,11
Hospital,General,73,5,22,37,Saturday,18,76
Hospital,Customer Service,48,12,15,28,Friday,15,43
Bank,Cardiology,57,10,16,53,Saturday,8,57
Hospital,Emergency,8,3,10,21,Saturday,16,40
Government Office,Emergency,70,6,8,9,Friday,19,42
Hospital,Customer Service,76,4,7,58,Monday,19,62
Government Office,Cardiology,65,12,22,10,Tuesday,12,60
Hospital,General,8,7,4,15,Wednesday,19,10
Hospital,Cardiology,19,2,12,58,Saturday,20,45
Bank,Loan Department,29,12,21,24,Thursday,13,54
Bank,Loan Department,71,5,0,19,Monday,14,51
Bank,Emergency,47,1,21,19,Saturday,20,64
Government Office,Cardiology,22,9,0,47,Monday,17,5
Bank,Cardiology,6,14,5,44,Thursday,20,5
Hospital,Loan Department,20,5,11,15,Friday,9,34
Hospital,General,100,11,21,7,Monday,9,64
Bank,Emergency,35,1,23,5,Wednesday,9,57
Government Office,General,71,14,22,6,Wednesday,19,45
Hospital,General,38,5,6,36,Wednesday,14,53
Government Office,Customer Service,116,3,24,14,Thursday,8,98
Bank,Customer Service,67,8,17,7,Friday,12,68
Hospital,Cardiology,50,7,13,15,Monday,16,56
Bank,Customer Service,101,4,5,26,Friday,19,65
Hospital,Emergency,117,2,10,16,Tuesday,10,77
Hospital,Emergency,86,8,5,11,Tuesday,10,34
Hospital,General,119,7,18,13,Wednesday,13,82
Government Office,Loan Department,27,12,19,28,Monday,10,29
Bank,Emergency,44,6,9,21,Tuesday,20,41
Government Office,Emergency,21,7,17,28,Monday,14,50
Government Office,Loan Department,37,5,20,14,Tuesday,10,46
Hospital,Customer Service,50,13,8,42,Monday,12,38
Government Office,Loan Department,39,2,20,23,Thursday,14,71
Bank,Emergency,29,11,9,21,Thursday,12,34
Bank,Cardiology,22,12,17,5,Tuesday,12,39
Hospital,Cardiology,70,3,14,38,Wednesday,15,75
Bank,Emergency,46,1,19,58,Friday,12,93
Government Office,Loan Department,43,14,6,26,Thursday,11,18
Bank,General,79,6,20,37,Tuesday,18,72
Government Office,Emergency,107,8,17,39,Saturday,10,78
Government Office,Customer Service,57,8,23,38,Wednesday,10,57
Government Office,Emergency,72,9,9,6,Saturday,13,54
Government Office,Customer Service,49,1,1,7,Saturday,17,21
Hospital,Cardiology,9,10,9,16,Wednesday,16,16
Hospital,General,7,5,24,53,Saturday,8,57
Hospital,Customer Service,21,9,5,53,Wednesday,15,38
Bank,General,31,8,8,32,Tuesday,14,38
Bank,General,75,2,21,54,Thursday,9,78
Hospital,Customer Service,7,14,11,50,Monday,14,35
Government Office,Cardiology,40,13,15,20,Tuesday,20,23
Bank,Customer Service,60,14,23,52,Friday,14,72
Government Office,Emergency,94,11,12,48,Wednesday,16,74
Hospital,Cardiology,5,8,3,25,Thursday,14,13
Bank,Loan Department,119,5,4,53,Wednesday,13,90
Hospital,General,27,5,6,10,Saturday,16,34
Bank,Customer Service,26,1,12,16,Saturday,8,37
Hospital,Emergency,94,11,7,44,Friday,20,54
Hospital,General,113,13,4,32,Thursday,8,44
Bank,General,35,7,2,55,Monday,8,26
Hospital,Loan Department,60,9,9,50,Wednesday,10,53
Hospital,Cardiology,98,9,5,19,Wednesday,8,41
Government Office,Emergency,74,2,0,7,Friday,16,44
Government Office,General,117,8,16,29,Friday,19,64
Government Office,Customer Service,16,13,24,55,Tuesday,16,58
Hospital,Cardiology,15,12,3,18,Friday,20,5
Bank,Cardiology,65,1,1,12,Saturday,13,50
Bank,Emergency,8,13,23,10,Monday,16,34
Government Office,Emergency,43,1,18,44,Wednesday,8,68
Bank,Emergency,107,5,12,34,Saturday,8,78
Government Office,General,52,6,21,50,Wednesday,8,67
Hospital,Emergency,16,1,20,19,Thursday,16,63
Bank,Loan Department,103,7,19,56,Friday,17,82
Government Office,Customer Service,22,2,16,12,Friday,17,38
Bank,General,90,10,8,25,Saturday,13,61
Hospital,Emergency,91,3,1,19,Monday,15,64
Hospital,Cardiology,40,4,21,32,Saturday,10,64
Bank,Customer Service,10,9,21,50,Saturday,17,38
Hospital,General,117,11,9,57,Friday,10,66
Bank,Cardiology,94,1,17,55,Friday,15,107
Hospital,Loan Department,80,8,4,28,Monday,10,31
Government Office,Customer Service,106,12,1,31,Friday,18,31
Bank,Emergency,68,9,3,9,Thursday,11,25
Hospital,General,11,6,13,34,Saturday,17,36
Government Office,Cardiology,20,5,2,27,Tuesday,12,27
Government Office,Emergency,6,6,7,27,Friday,12,30
Bank,Emergency,72,14,18,27,Tuesday,15,62
Bank,Cardiology,58,12,0,11,Friday,9,6
Bank,Cardiology,96,1,23,43,Tuesday,10,93
Hospital,Emergency,28,5,22,23,Friday,20,53
Government Office,General,37,11,17,37,Friday,8,40
Hospital,Emergency,16,9,17,59,Wednesday,16,53
Bank,Loan Department,101,3,21,46,Saturday,18,93
Bank,Emergency,87,6,9,45,Friday,9,62
Hospital,Loan Department,94,14,10,45,Saturday,15,59
Hospital,Loan Department,76,12,14,38,Thursday,16,58
Bank,Cardiology,101,9,8,49,Saturday,15,68
Government Office,Loan Department,99,10,19,39,Thursday,16,89
Hospital,Customer Service,101,5,15,51,Saturday,13,99
Government Office,Loan Department,19,6,1,28,Friday,19,5
Bank,Loan Department,53,12,0,5,Thursday,15,19
Bank,Loan Department,69,10,18,47,Thursday,15,75
Hospital,Emergency,29,10,11,45,Tuesday,8,26
Bank,General,85,5,13,38,Wednesday,15,85
Government Office,Loan Department,85,3,22,5,Monday,20,76
Bank,Customer Service,23,3,9,9,Wednesday,19,14
Hospital,Customer Service,111,7,4,56,Friday,10,67
Hospital,Emergency,67,12,17,53,Wednesday,11,57
Hospital,Loan Department,116,11,1,52,Tuesday,10,55
Bank,Loan Department,61,13,12,9,Monday,20,32
Hospital,General,28,13,5,37,Thursday,16,33
Bank,General,15,8,23,11,Monday,14,41
Hospital,General,25,4,20,14,Friday,9,37
Bank,General,118,14,5,41,Tuesday,15,56
Hospital,Customer Service,80,10,3,27,Friday,9,33
Bank,Customer Service,94,12,0,51,Friday,16,46
Hospital,Emergency,105,7,23,54,Tuesday,19,101
Government Office,Customer Service,26,12,17,36,Thursday,13,45
Bank,Customer Service,24,4,0,19,Wednesday,18,13
Government Office,Cardiology,115,11,4,35,Wednesday,20,51
Government Office,Cardiology,39,6,6,10,Monday,13,26
Hospital,General,40,12,19,27,Saturday,14,58
Hospital,Emergency,98,11,17,45,Thursday,16,78
Bank,Emergency,19,6,7,19,Tuesday,16,37
Government Office,Loan Department,107,6,17,20,Friday,9,74
Hospital,General,34,7,1,39,Thursday,10,15
Government Office,Cardiology,61,13,4,6,Thursday,17,8
Bank,Cardiology,102,6,23,59,Saturday,9,99
Bank,Customer Service,54,9,19,29,Tuesday,11,58
Government Office,General,47,11,6,16,Saturday,19,17
Hospital,Loan Department,67,2,21,20,Monday,12,84
Bank,Emergency,57,7,10,18,Tuesday,12,55
Government Office,General,84,2,20,59,Monday,14,110
Bank,Loan Department,115,14,18,9,Tuesday,20,61
Bank,Emergency,99,13,17,48,Wednesday,11,60
Government Office,Emergency,73,9,12,14,Wednesday,11,44
Government Office,Emergency,84,14,12,40,Thursday,18,54
Hospital,Emergency,83,4,19,49,Monday,20,85
Government Office,Emergency,63,5,21,58,Tuesday,14,84
Bank,Cardiology,41,13,4,29,Wednesday,17,14
Bank,Cardiology,92,4,22,12,Saturday,20,81
Bank,Customer Service,88,10,21,46,Wednesday,20,61
Government Office,Cardiology,41,9,10,31,Saturday,18,36
Bank,Cardiology,91,5,0,7,Tuesday,20,36
Government Office,Loan Department,32,14,19,34,Tuesday,10,32
Hospital,Emergency,82,14,24,53,Friday,13,86
Government Office,General,76,3,8,15,Thursday,15,63
Hospital,Loan Department,30,5,18,41,Monday,10,48
Government Office,Cardiology,96,4,21,7,Wednesday,16,91
Bank,Loan Department,7,8,12,47,Monday,15,37
Government Office,Customer Service,76,3,9,35,Monday,20,50
Government Office,Cardiology,86,9,6,52,Saturday,17,40
Government Office,Customer Service,52,7,23,37,Wednesday,13,78
Bank,Emergency,8,4,3,46,Friday,13,23
Government Office,Emergency,108,3,16,21,Monday,16,92
Hospital,General,98,8,21,29,Wednesday,15,94
Government Office,Cardiology,14,1,7,58,Wednesday,19,39
Hospital,Customer Service,77,12,11,58,Wednesday,15,72
Hospital,Cardiology,13,4,23,39,Tuesday,17,49
Bank,Emergency,26,1,4,13,Tuesday,16,36
Government Office,Cardiology,106,3,7,46,Wednesday,12,94
Government Office,Loan Department,99,9,23,43,Tuesday,17,85
Bank,General,45,9,9,46,Tuesday,12,55
Bank,General,18,1,12,25,Saturday,20,40
Hospital,Cardiology,54,2,12,44,Thursday,15,69
Government Office,General,57,1,19,35,Monday,14,86
Bank,Loan Department,39,12,18,29,Wednesday,9,36
Hospital,Loan Department,38,3,2,50,Wednesday,11,31
Bank,Cardiology,12,13,10,33,Wednesday,14,23
Hospital,General,85,5,1,42,Friday,15,60
Government Office,Cardiology,105,4,1,16,Saturday,16,58
Hospital,Customer Service,25,5,13,39,Saturday,15,56
Government Office,Loan Department,19,13,5,51,Tuesday,14,30
Hospital,General,26,11,13,19,Saturday,18,18
Government Office,Cardiology,48,3,21,32,Monday,19,65
Government Office,General,38,4,8,19,Saturday,16,46
Government Office,General,88,8,18,23,Friday,20,56
Hospital,Loan Department,37,10,17,39,Monday,15,55
Hospital,Cardiology,54,3,7,31,Wednesday,18,32
Hospital,Customer Service,51,14,6,14,Saturday,13,23
Bank,Emergency,110,6,16,55,Monday,20,86
Hospital,Customer Service,80,9,8,9,Monday,17,32
Hospital,Emergency,112,9,24,35,Friday,11,89
Hospital,General,92,11,23,39,Monday,9,81
Bank,Cardiology,36,7,1,45,Tuesday,14,34
Hospital,Customer Service,19,8,20,39,Tuesday,9,34
Hospital,Loan Department,111,11,23,11,Friday,12,86
Hospital,Customer Service,53,1,13,46,Monday,17,75
Bank,Cardiology,44,14,6,10,Thursday,15,23
Government Office,General,73,5,3,21,Saturday,10,38
Bank,General,56,14,7,38,Thursday,12,34
Government Office,Emergency,41,13,4,57,Tuesday,10,17
Government Office,General,56,8,18,16,Friday,19,43
Bank,Customer Service,47,7,16,7,Friday,9,33
Government Office,Customer Service,26,6,21,47,Monday,20,51
Government Office,General,73,14,22,59,Saturday,17,62
Government Office,General,94,6,14,25,Thursday,12,77
Government Office,Loan Department,5,1,18,18,Saturday,12,51
Government Office,Cardiology,87,2,1,10,Saturday,18,39
Government Office,Customer Service,55,6,0,17,Wednesday,20,31
Hospital,Cardiology,31,7,19,7,Tuesday,18,35
Government Office,Cardiology,49,14,4,58,Monday,8,14
Government Office,Cardiology,92,13,5,58,Wednesday,14,68
Bank,Customer Service,118,7,3,21,Saturday,20,51
Bank,Loan Department,41,3,3,59,Monday,20,41
Bank,General,100,7,15,21,Thursday,13,67
Hospital,Cardiology,48,9,14,48,Thursday,11,41
Hospital,Customer Service,74,4,22,48,Thursday,11,79
Government Office,Customer Service,87,6,12,35,Monday,20,69
Government Office,Emergency,71,14,17,31,Monday,19,35
Government Office,Loan Department,64,14,9,53,Friday,10,28
Government Office,Emergency,52,8,16,57,Saturday,10,67
Hospital,Cardiology,11,5,17,16,Tuesday,8,23
Hospital,General,96,1,2,47,Friday,14,77
Bank,Customer Service,99,6,14,11,Friday,13,74
Bank,General,22,6,23,57,Thursday,14,86
Government Office,General,119,11,7,28,Tuesday,17,51
Government Office,Emergency,25,3,22,31,Wednesday,18,61
Hospital,Emergency,77,9,0,37,Tuesday,18,40
Government Office,Loan Department,21,2,17,20,Monday,19,38
Hospital,Loan Department,76,2,13,29,Monday,11,63
Bank,Emergency,35,2,23,23,Saturday,16,75
Government Office,General,111,1,9,54,Friday,8,79
Hospital,Emergency,69,12,2,19,Monday,9,16
Hospital,Loan Department,14,5,4,19,Thursday,11,17
